FIFA,OPTA,Fifa Ovr,Crossing,Finishing,ShortPassing,Dribbling,LongPassing,StandingTackle,SlidingTackle
R. Lewandowski,"Robert Lewandowski Bayern Munich, 31, FW ",90,62,91,83,85,65,42,19
Thiago,"Thiago Alcántara Bayern Munich, 28, M(C) ",86,72,69,90,90,87,63,65
K. Demirbay,"Kerem Demirbay Hoffenheim, 26, AM(C) ",80,72,72,82,82,80,59,53
M. Halstenberg,"Marcel Halstenberg RasenBallsport Leipzig, 27, D(L),M(L) ",78,79,57,76,69,62,79,74
S. Haller,"Sébastien Haller Eintracht Frankfurt, 25, FW ",80,40,84,70,72,35,51,46
J. Sancho,"Jadon Sancho Borussia Dortmund, 19, AM(LR) ",77,68,70,74,86,54,33,36
J. Kimmich,"Joshua Kimmich Bayern Munich, 24, D(CR),DMC ",85,90,66,85,80,80,81,79
T. Hazard,"Thorgan Hazard Borussia M.Gladbach, 26, AM(CLR),FW ",81,77,69,81,85,72,47,35
W. Orban,"Willi Orban RasenBallsport Leipzig, 26, D(C) ",79,38,38,66,53,56,83,77
L. Piszczek,"Lukasz Piszczek Borussia Dortmund, 34, D(CR),M(R) ",81,82,65,76,72,69,82,79
M. Reus,"Marco Reus Borussia Dortmund, 30, M(CLR),FW ",86,79,87,86,87,75,36,45
I. Bebou,"Ihlas Bebou Hannover 96, 25, AM(CLR),FW ",76,66,74,72,81,53,35,33
K. Coman,"Kingsley Coman Bayern Munich, 23, AM(LR),FW ",83,81,76,77,88,63,17,15
Camacho,"Ignacio Camacho Wolfsburg, 29, D(C),M(C) ",67,72,66,72,63,71,59,55
I. Belfodil,"Ishak Belfodil Hoffenheim, 27, AM(LR),FW ",76,65,74,72,80,62,39,15
K. Volland,"Kevin Volland Bayer Leverkusen, 27, AM(CLR),FW ",81,78,81,81,79,67,50,33
D. Caligiuri,"Daniel Caligiuri Schalke 04, 31, D(R),M(CLR),FW ",79,83,72,78,81,70,72,68
Y. Poulsen,"Yussuf Poulsen RasenBallsport Leipzig, 25, AM(R),FW ",78,69,72,74,75,48,59,33
M. Grujić,"Marko Grujic Hertha Berlin, 23, DMC ",73,60,69,73,69,73,72,71
F. Kostić,"Filip Kostic Eintracht Frankfurt, 26, M(LR),FW ",77,79,64,64,83,59,34,47
J. Brandt,"Julian Brandt Bayer Leverkusen, 23, M(CLR),FW ",82,77,78,82,87,69,20,24
K. Havertz,"Kai Havertz Bayer Leverkusen, 20, M(CR) ",80,69,72,82,81,73,42,38
V. Grifo,"Vincenzo Grifo Freiburg, 26, AM(CL) ",77,82,72,73,83,63,31,30
W. Weghorst,"Wout Weghorst Wolfsburg, 27, FW ",78,42,81,70,64,48,23,26
J. Rodríguez,"James Rodríguez Bayern Munich, 28, AM(CLR) ",88,90,83,89,85,83,41,44
M. Kruse,"Max Kruse Werder Bremen, 31, M(CLR),FW ",82,81,83,84,82,80,38,34
Joelinton,"Joelinton Hoffenheim, 23, FW ",75,44,75,72,76,56,44,38
T. Müller,"Thomas Müller Bayern Munich, 29, M(CLR),FW ",86,79,87,83,75,72,41,44
I. Konaté,"Ibrahima Konaté RasenBallsport Leipzig, 20, D(C) ",74,35,17,70,66,62,77,76
K. Stöger,"Kevin Stöger Fortuna Duesseldorf, 26, M(CL) ",75,74,67,74,76,77,29,35
T. Werner,"Timo Werner RasenBallsport Leipzig, 23, AM(L),FW ",83,69,87,77,83,55,20,19
M. Hummels,"Mats Hummels Bayern Munich, 30, D(C) ",88,64,55,81,68,85,90,88
S. Gnabry,"Serge Gnabry Bayern Munich, 24, AM(CLR),FW ",83,74,81,79,87,68,48,45
K. Kampl,"Kevin Kampl RasenBallsport Leipzig, 28, M(CLR) ",83,72,63,84,86,79,64,59
T. Delaney,"Thomas Delaney Borussia Dortmund, 28, DMC ",82,67,72,79,73,77,82,81
J. Beyer,"Louis Beyer Borussia M.Gladbach, 19, D(R) ",63,53,29,60,54,49,68,66
M. Arnold,"Maximilian Arnold Wolfsburg, 25, M(CR) ",78,70,77,79,78,78,71,66
A. Witsel,"Axel Witsel Borussia Dortmund, 30, M(C) ",84,69,71,89,78,79,79,85
A. Hakimi,"Achraf Hakimi Borussia Dortmund, 20, D(LR) ",78,76,59,77,78,68,73,75
N. Petersen,"Nils Petersen Freiburg, 30, FW ",79,58,84,65,64,49,44,21
S. Rode,"Sebastian Rode Eintracht Frankfurt, 28, D(R),M(C) ",76,66,55,75,71,71,77,77
B. Hübner,"Benjamin Hübner Hoffenheim, 30, D(C) ",79,47,20,57,58,49,84,79
J. Torunarigha,"Jordan Torunarigha Hertha Berlin, 22, D(C) ",70,31,33,59,45,62,75,72
William,"William Wolfsburg, 24, D(LR),M(R) ",74,76,32,75,75,64,69,73
A. Kramarić,"Andrej Kramaric Hoffenheim, 28, AM(CLR),FW ",82,75,86,79,87,53,20,26
F. Grillitsch,"Florian Grillitsch Hoffenheim, 24, DMC,M(L) ",77,68,58,81,76,77,69,50
S. Sané,"Salif Sané Schalke 04, 29, D(C),DMC ",82,57,38,73,64,71,90,78
T. Gebre Selassie,"Theodor Gebre Selassie Werder Bremen, 32, D(LR),DMC,M(R) ",76,75,49,76,76,69,74,68
A. Touré,"Almamy Touré Eintracht Frankfurt, 23, D(CR) ",76,48,38,72,60,73,79,74
J. Roussillon,"Jérôme Roussillon Wolfsburg, 26, D(L),M(L) ",79,77,64,74,77,69,80,78
E. Forsberg,"Emil Forsberg RasenBallsport Leipzig, 27, AM(CLR) ",82,84,70,85,82,69,26,17
R. Guerreiro,"Raphael Guerreiro Borussia Dortmund, 25, D(L),M(CL) ",81,85,75,84,83,75,70,77
O. Duda,"Ondrej Duda Hertha Berlin, 24, AM(C),FW ",75,62,77,76,79,69,58,44
M. Kempf,"Marc Oliver Kempf VfB Stuttgart, 24, D(C) ",74,41,31,65,56,67,74,73
D. Alaba,"David Alaba Bayern Munich, 27, D(CL),M(C) ",85,81,63,82,79,80,82,80
L. Klostermann,"Lukas Klostermann RasenBallsport Leipzig, 23, D(LR),M(R) ",75,65,45,71,65,55,74,72
C. Aránguiz,"Charles Aránguiz Bayer Leverkusen, 30, M(C) ",81,78,64,84,75,83,71,72
M. Götze,"Mario Götze Borussia Dortmund, 27, M(CLR),FW ",82,78,75,87,84,82,53,57
L. Jović,"Luka Jovic Eintracht Frankfurt, 21, FW ",78,63,81,72,76,54,26,16
N. Amiri,"Nadiem Amiri Hoffenheim, 22, AM(CL) ",78,73,65,79,85,73,57,46
B. Oczipka,"Bastian Oczipka Schalke 04, 30, D(CL),M(L) ",77,81,50,77,73,74,79,78
V. Lazaro,"Valentino Lazaro Hertha Berlin, 23, D(R),M(CLR) ",73,80,69,77,81,75,65,63
N. Mukiele,"Nordi Mukiele RasenBallsport Leipzig, 21, D(CR),M(R) ",77,74,30,74,72,67,79,81
L. Kübler,"Lukas Kübler Freiburg, 27, D(R),M(R) ",70,67,44,66,59,53,72,74
M. Rashica,"Milot Rashica Werder Bremen, 23, AM(LR),FW ",76,76,69,68,80,64,29,36
M. Eggestein,"Maximilian Eggestein Werder Bremen, 22, M(C) ",78,65,61,79,77,77,75,63
Aarón Martín,"Aarón Martín Mainz 05, 22, D(L) ",77,76,33,76,71,61,78,76
J. Guilavogui,"Josuha Guilavogui Wolfsburg, 28, M(C) ",79,52,49,78,67,75,79,82
Lucas Torró,"Lucas Torró Eintracht Frankfurt, 25, DMC ",74,49,53,76,62,72,73,68
L. Goretzka,"Leon Goretzka Bayern Munich, 24, M(CR) ",83,75,72,84,81,79,79,78
N. Süle,"Niklas Süle Bayern Munich, 24, D(C) ",84,30,20,78,42,63,85,83
J. Baumgartlinger,"Julian Baumgartlinger Bayer Leverkusen, 31, DMC ",78,63,39,81,65,71,80,75
M. Mittelstädt,"Maximilian Mittelstädt Hertha Berlin, 22, D(L),M(L) ",70,77,59,70,75,70,73,63
A. Mehmedi,"Admir Mehmedi Wolfsburg, 28, M(CLR),FW ",76,74,74,74,78,58,40,36
L. Bender,"Lars Bender Bayer Leverkusen, 30, D(R),M(CR) ",83,69,59,79,72,74,86,82
J. Tah,"Jonathan Tah Bayer Leverkusen, 23, D(C) ",83,35,20,74,55,69,88,84
M. Sabitzer,"Marcel Sabitzer RasenBallsport Leipzig, 25, AM(CLR),FW ",81,70,79,79,79,67,55,51
L. Stindl,"Lars Stindl Borussia M.Gladbach, 31, M(CR),FW ",81,76,79,85,78,69,61,50
J. Mateta,"Jean-Philippe Mateta Mainz 05, 22, FW ",73,39,74,64,71,41,26,22
J. Schmid,"Jonathan Schmid Augsburg, 29, D(R),M(LR) ",74,72,66,73,73,62,68,64
Paco Alcácer,"Paco Alcácer Borussia Dortmund, 26, AM(R),FW ",81,53,85,76,78,51,21,26
D. Zagadou,"Dan-Axel Zagadou Borussia Dortmund, 20, D(CL) ",75,46,26,71,49,55,81,75
D. Demme,"Diego Demme RasenBallsport Leipzig, 27, DMC ",79,71,26,82,73,79,77,73
P. Kadeřábek,"Pavel Kaderábek Hoffenheim, 27, D(R),M(R) ",80,86,28,77,76,69,79,76
N. Stark,"Niklas Stark Hertha Berlin, 24, D(C),DMC ",78,54,50,76,65,67,79,76
M. Hinteregger,"Martin Hinteregger Eintracht Frankfurt, 26, D(C) ",77,53,48,63,55,81,78,77
A. Hack,"Alexander Hack Mainz 05, 25, D(C) ",74,55,27,74,59,75,75,73
