Name,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,"Shots per
game",Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Long balls per game,Through balls per game
manipulation,string,string,string,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Lewandowski,7.65,90,FW,33,2959,7,2,0,1.7,5,0.4,0.2,0.8,0.0,0.5,0.2,0.0,0,22,4.4,1.5,1.4,0.9,1.5,2.8,1.4,22.1,77.5,0.0,0.6,0.2
Sébastien Haller,7.55,80,FW,23,2181,9,3,0,6.9,3,0.8,0.5,1.4,0.0,0.8,0.4,0.0,0,15,1.9,1.0,1.5,0.7,1.7,3.0,1.3,27.1,63.4,0.0,0.4,0.1
Thorgan Hazard,7.44,81,"AM(CLR), FW",33,2878,10,1,0,0.7,6,1.5,0.8,0.8,0.0,0.2,0.9,0.1,0,10,2.3,2.2,1.8,0.5,1.5,2.2,2.2,34.8,76.9,1.4,1.6,0.2
Marco Reus,7.39,86,"M(CLR), FW",27,2322,8,3,1,0.7,5,1.2,0.3,1.3,0.0,1.2,0.9,0.0,0,17,2.6,0.9,1.1,0.6,1.4,2.0,1.4,37.6,81.8,0.4,1.5,0.1
Ihlas Bebou,7.34,76,"AM(CLR), FW",12,1068,3,1,0,1.7,4,1.3,0.8,0.8,0.0,0.7,0.4,0.2,0,4,2.3,2.9,1.8,0.3,1.8,2.4,1.3,30.1,71.5,0.8,0.8,0.2
Kingsley Coman,7.34,83,"AM(LR), FW",17,1392,4,2,0,0.6,2,0.5,0.2,0.8,0.0,0.1,0.6,0.0,0,6,1.5,2.9,2.0,0.1,1.6,2.3,1.3,29.4,85.0,0.7,0.5,0.0
Ishak Belfodil,7.29,76,"AM(LR), FW",20,1864,3,3,0,1.8,4,0.5,0.1,0.9,0.0,0.5,0.4,0.0,0,16,3.1,1.4,0.5,0.8,1.1,1.4,1.1,15.6,72.2,0.1,0.1,0.0
Kevin Volland,7.28,81,"AM(CLR), FW",32,2820,9,4,0,1.0,4,1.0,0.2,1.2,0.1,0.9,0.4,0.0,0,14,2.6,0.9,1.5,0.6,1.7,2.8,1.3,25.3,75.0,0.6,0.7,0.1
Daniel Caligiuri,7.28,79,"D(R), M(CLR), FW",31,2760,3,9,0,1.3,5,3.0,1.6,1.0,0.1,2.0,1.9,0.3,0,7,1.6,2.1,1.2,0.0,1.4,1.5,1.9,37.2,68.5,1.5,2.7,0.0
Yussuf Poulsen,7.27,78,"AM(R), FW",27,2454,3,2,0,4.6,4,0.6,0.2,1.8,0.1,0.9,0.7,0.1,0,15,2.1,0.8,1.6,0.6,2.0,3.1,1.1,24.9,60.8,0.2,0.3,0.1
Filip Kostic,7.26,77,"M(LR), FW",33,2961,10,4,0,1.3,5,1.9,0.7,0.8,0.1,1.1,1.2,0.2,0,6,1.8,1.7,1.1,0.1,1.4,1.7,1.4,29.7,64.7,1.4,1.4,0.1
Julian Brandt,7.26,82,"M(CLR), FW",30,2674,11,0,0,0.9,3,0.8,0.5,0.4,0.0,0.2,1.1,0.0,0,7,2.0,1.7,0.7,0.1,1.5,2.3,2.6,51.6,81.4,1.2,2.4,0.2
Wout Weghorst,7.24,78,FW,33,2931,7,4,0,3.4,3,0.9,0.3,1.1,0.0,0.9,0.8,0.1,0,17,2.1,0.4,1.1,0.9,1.4,1.9,1.1,23.6,69.5,0.1,0.5,0.1
Max Kruse,7.23,82,"M(CLR), FW",32,2837,9,0,0,0.8,5,0.5,0.3,0.7,0.0,0.2,1.0,0.0,0,11,2.8,1.2,1.0,0.2,1.4,2.4,2.6,49.9,79.1,1.7,3.4,0.1
Joelinton,7.21,75,FW,25,2136,5,5,0,2.3,1,1.3,0.5,2.0,0.0,0.3,0.7,0.1,0,7,2.0,1.7,1.0,0.1,2.2,2.9,1.5,24.7,79.3,0.2,0.3,0.1
Thomas Müller,7.19,86,"M(CLR), FW",28,2391,9,1,0,1.6,3,1.3,0.3,0.7,0.0,0.4,0.9,0.2,0,6,2.0,0.7,0.8,0.5,0.5,1.5,1.9,37.5,74.7,0.2,1.2,0.1
