Name,Fifa,Fifa Ability Overall,Liga,Position,Player,Apps,Minutes played,Assists,Yel,Red,Pass success percentage,Aerials Won per game,Man of the match,Rating,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage.1,Crosses,Long balls per game,Through balls per game
Robert Lewandowski,R. Lewandowski,90,BuLi,FW,"Robert Lewandowski Bayern Munich, 31, FW ",33,2959,7,2,-,77.5,1.7,5,7.65,0.4,0.2,0.8,-,0.5,0.2,-,-,22,4.4,1.5,1.4,0.9,1.5,2.8,1.4,22.1,77.5,-,0.6,0.2
Thiago Alcántara,Thiago,86,BuLi,M(C),"Thiago Alcántara Bayern Munich, 28, M(C) ",26(4),2409,6,5,-,91.8,1.2,3,7.59,2.9,1.5,1.7,-,0.6,0.8,0.1,-,2,0.8,1.9,1.1,-,0.9,0.7,1.3,83.6,91.8,0.5,7.3,0.1
Kerem Demirbay,K. Demirbay,80,BuLi,AM(C),"Kerem Demirbay Hoffenheim, 26, AM(C) ",24(2),2023,9,6,-,81.2,0.7,6,7.59,2.2,0.8,1.8,-,0.8,1.5,0.4,-,4,2.3,2.2,1.3,0.1,2,2,3.1,48.8,81.2,1.7,2.9,0.2
Marcel Halstenberg,M. Halstenberg,78,BuLi,"D(L), M(L)","Marcel Halstenberg RasenBallsport Leipzig, 27, D(L),M(L) ",27(1),2414,6,2,-,74.3,2.6,3,7.56,2.4,1.4,0.9,0.5,1.9,0.8,0.1,-,3,0.8,1,0.8,0.1,0.9,1,2,40.9,74.3,1.6,1.4,-
Sébastien Haller,S. Haller,80,BuLi,FW,"Sébastien Haller Eintracht Frankfurt, 25, FW ",23(6),2181,9,3,-,63.4,6.9,3,7.55,0.8,0.5,1.4,-,0.8,0.4,-,-,15,1.9,1,1.5,0.7,1.7,3,1.3,27.1,63.4,-,0.4,0.1
Jadon Sancho,J. Sancho,77,BuLi,AM(LR),"Jadon Sancho Borussia Dortmund, 19, AM(LR) ",26(8),2464,14,2,-,84.9,-,7,7.52,0.6,0.4,0.1,-,0.1,0.6,-,-,12,1.2,3.3,1.1,0.1,1.7,2.7,1.9,38.3,84.9,0.8,0.6,0.1
Joshua Kimmich,J. Kimmich,85,BuLi,"D(CR), DMC","Joshua Kimmich Bayern Munich, 24, D(CR),DMC ",34,3060,13,4,-,90.5,0.7,4,7.49,1.4,1,0.8,0.1,1,0.9,0.3,-,2,0.7,1.1,1.5,0.1,0.7,1.2,2.4,74.1,90.5,2.2,4.2,0.1
Gregor Kobel,G. Kobel,66,BuLi,GK,"Gregor Kobel Hoffenheim, 21, GK ",1,90,-,-,-,61.5,1,-,7.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,61.5,-,15,-
Frederik Rönnow,F. Rönnow,75,BuLi,GK,"Frederik Rönnow Eintracht Frankfurt, 27, GK ",1(1),122,-,-,-,59.6,-,-,7.47,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,-,-,26,59.6,-,10.5,-
Thorgan Hazard,T. Hazard,81,BuLi,"AM(CLR), FW","Thorgan Hazard Borussia M.Gladbach, 26, AM(CLR),FW ",33,2878,10,1,-,76.9,0.7,6,7.44,1.5,0.8,0.8,-,0.2,0.9,0.1,-,10,2.3,2.2,1.8,0.5,1.5,2.2,2.2,34.8,76.9,1.4,1.6,0.2
