Name,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,"Shots per 
game",Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Long balls per game,Through balls per game,Unnamed: 32
manipulation,string,string,string,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marcel Halstenberg,7.56,78,"D(L), M(L)",27.0,2414.0,6.0,2.0,0.0,2.6,3.0,2.4,1.4,0.9,0.5,1.9,0.8,0.1,0.0,3.0,0.8,1.0,0.8,0.1,0.9,1.0,2.0,40.9,74.3,1.6,1.4,0.0,
Joshua Kimmich,7.49,85,"D(CR), DMC",34.0,3060.0,13.0,4.0,0.0,0.7,4.0,1.4,1.0,0.8,0.1,1.0,0.9,0.3,0.0,2.0,0.7,1.1,1.5,0.1,0.7,1.2,2.4,74.1,90.5,2.2,4.2,0.1,
Willi Orban,7.41,79,D(C),23.0,2050.0,0.0,5.0,0.0,4.8,3.0,2.0,1.5,1.1,1.4,5.7,0.6,0.6,0.0,4.0,1.1,0.1,1.2,0.0,0.1,0.4,0.0,41.6,78.2,0.0,2.7,0.0,
Lukasz Piszczek,7.41,81,"D(CR), M(R)",20.0,1759.0,6.0,3.0,0.0,3.1,2.0,2.9,2.0,0.8,0.2,3.0,0.8,0.2,0.0,1.0,0.6,0.4,0.5,0.0,0.3,0.7,1.1,56.2,83.3,0.6,1.3,0.2,
Ignacio Camacho,7.34,67,"D(C), M(C)",6.0,540.0,0.0,3.0,0.0,5.5,1.0,2.5,3.0,2.3,0.0,2.0,0.7,0.3,0.0,0.0,1.2,0.2,1.8,0.2,0.2,0.8,0.3,50.0,78.3,0.0,5.8,0.3,
Daniel Caligiuri,7.28,79,"D(R), M(CLR), FW",31.0,2760.0,3.0,9.0,0.0,1.3,5.0,3.0,1.6,1.0,0.1,2.0,1.9,0.3,0.0,7.0,1.6,2.1,1.2,0.0,1.4,1.5,1.9,37.2,68.5,1.5,2.7,0.0,
Ibrahima Konaté,7.19,74,D(C),27.0,2431.0,1.0,7.0,0.0,3.6,0.0,1.6,2.1,1.3,1.0,4.3,0.4,0.6,0.0,1.0,0.5,0.8,0.9,0.0,0.4,0.7,0.2,37.0,76.0,0.0,1.9,0.0,
Mats Hummels,7.17,88,D(C),20.0,1776.0,1.0,1.0,0.0,4.0,0.0,1.2,1.6,0.4,0.2,2.3,0.7,0.4,0.0,1.0,0.9,0.5,0.4,0.0,0.1,0.4,0.6,82.6,89.4,0.0,4.5,0.1,
Louis Beyer,7.12,63,D(R),8.0,721.0,0.0,1.0,0.0,1.6,0.0,3.6,1.2,0.8,0.8,3.0,0.8,0.7,0.0,0.0,0.6,0.8,0.4,0.1,0.4,0.8,0.2,47.6,87.9,0.1,1.3,0.0,
