Name,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Pass success percentage,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,"Shots per
game",Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage.1,Crosses,Long balls per game,Through balls per game
Yannis Salibur,5.85,76,"AM(CLR), FW",0,16,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Thiago Alcántara,7.59,86,M(C),26,2409,6,5,0,91.8,1.2,3,2.9,1.5,1.7,0.0,0.6,0.8,0.1,0,2,0.8,1.9,1.1,0.0,0.9,0.7,1.3,83.6,91.8,0.5,7.3,0.1
Kerem Demirbay,7.59,80,AM(C),24,2023,9,6,0,81.2,0.7,6,2.2,0.8,1.8,0.0,0.8,1.5,0.4,0,4,2.3,2.2,1.3,0.1,2.0,2.0,3.1,48.8,81.2,1.7,2.9,0.2
Marcel Halstenberg,7.56,78,"D(L), M(L)",27,2414,6,2,0,74.3,2.6,3,2.4,1.4,0.9,0.5,1.9,0.8,0.1,0,3,0.8,1.0,0.8,0.1,0.9,1.0,2.0,40.9,74.3,1.6,1.4,0.0
Franco Di Santo,5.91,75,"AM(CLR), FW",1,170,0,1,1,63.9,1.3,0,0.3,0.0,0.8,0.0,0.3,0.2,0.0,0,0,0.0,0.2,0.7,0.3,0.0,0.7,0.0,6.0,63.9,0.0,0.2,0.0
Jadon Sancho,7.52,77,AM(LR),26,2464,14,2,0,84.9,0.0,7,0.6,0.4,0.1,0.0,0.1,0.6,0.0,0,12,1.2,3.3,1.1,0.1,1.7,2.7,1.9,38.3,84.9,0.8,0.6,0.1
Joshua Kimmich,7.49,85,"D(CR), DMC",34,3060,13,4,0,90.5,0.7,4,1.4,1.0,0.8,0.1,1.0,0.9,0.3,0,2,0.7,1.1,1.5,0.1,0.7,1.2,2.4,74.1,90.5,2.2,4.2,0.1
Gregor Kobel,7.48,66,GK,1,90,0,0,0,61.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,61.5,0.0,15.0,0.0
Frederik Rönnow,7.47,75,GK,1,122,0,0,0,59.6,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,59.6,0.0,10.5,0.0
Luca Matarese,5.92,61,Forward,0,14,0,1,0,75.0,0.0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,2.0,75.0,0.0,0.0,0.0
Willi Orban,7.41,79,D(C),23,2050,0,5,0,78.2,4.8,3,2.0,1.5,1.1,1.4,5.7,0.6,0.6,0,4,1.1,0.1,1.2,0.0,0.1,0.4,0.0,41.6,78.2,0.0,2.7,0.0
Lukasz Piszczek,7.41,81,"D(CR), M(R)",20,1759,6,3,0,83.3,3.1,2,2.9,2.0,0.8,0.2,3.0,0.8,0.2,0,1,0.6,0.4,0.5,0.0,0.3,0.7,1.1,56.2,83.3,0.6,1.3,0.2
Pedro Neto,5.95,62,Forward,0,43,0,1,0,91.3,0.0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.3,0.0,0.5,0.0,0.8,0.3,0.3,5.8,91.3,0.0,0.0,0.0
Takuma Asano,5.96,70,"AM(CLR), FW",9,702,0,0,0,72.2,0.4,0,0.4,0.2,0.4,0.0,0.2,0.4,0.0,0,0,1.0,0.5,1.1,0.4,1.2,2.2,0.2,11.6,72.2,0.0,0.2,0.0
Idriss Saadi,5.96,70,FW,0,9,0,0,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0
Ignacio Camacho,7.34,67,"D(C), M(C)",6,540,0,3,0,78.3,5.5,1,2.5,3.0,2.3,0.0,2.0,0.7,0.3,0,0,1.2,0.2,1.8,0.2,0.2,0.8,0.3,50.0,78.3,0.0,5.8,0.3
Bakary Sako,5.96,79,"M(L), FW",0,26,0,0,0,80.0,0.0,0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.3,0.5,0.5,0.0,2.5,80.0,0.0,0.3,0.0
Dusan Vlahovic,5.96,61,Forward,1,152,0,0,0,62.2,0.2,0,0.0,0.0,0.5,0.0,0.4,0.0,0.0,0,0,1.0,0.1,0.2,0.0,0.5,1.1,0.3,3.7,62.2,0.1,0.1,0.0
Alejandro Rodriguez,5.96,71,FW,0,24,0,0,0,33.3,0.0,0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,33.3,0.0,0.0,0.0
Branimir Hrgota,5.97,72,"AM(L), FW",0,4,0,0,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
Marko Grujic,7.26,73,DMC,20,1780,1,5,0,81.9,3.2,3,2.0,1.3,2.0,0.1,2.3,1.1,0.3,0,5,2.1,1.4,1.0,0.0,0.9,1.0,0.7,43.1,81.9,0.0,1.6,0.0
Leon Dajaku,5.97,62,Forward,0,26,0,0,0,83.3,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,3.0,83.3,0.0,0.0,0.0
Collin Quaner,5.97,68,"AM(R), FW",0,37,0,0,0,76.5,0.0,0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0,0,0.0,0.5,0.0,0.5,1.0,1.0,0.5,8.5,76.5,0.0,0.0,0.0
Kai Havertz,7.25,80,M(CR),33,2901,3,2,0,87.2,1.6,2,0.8,0.5,0.7,0.0,0.8,0.7,0.1,0,17,2.6,1.4,1.5,0.1,2.0,2.2,1.0,52.6,87.2,0.1,2.2,0.1
Vincenzo Grifo,7.25,77,AM(CL),16,1431,3,1,0,79.2,0.2,1,1.6,0.1,0.5,0.0,0.6,0.8,0.1,0,6,2.6,1.9,1.1,0.6,1.6,1.9,2.2,43.3,79.2,1.1,2.9,0.1
Stefano Okaka,5.97,74,FW,0,22,0,1,0,71.4,0.5,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,7.0,71.4,0.0,0.0,0.0
James Rodríguez,7.24,88,AM(CLR),13,1143,3,2,0,87.1,0.2,3,0.6,0.2,0.4,0.0,0.1,0.7,0.0,0,7,1.8,0.8,0.8,0.3,0.6,0.7,2.6,43.9,87.1,1.6,2.4,0.2
Emmanuel Apeh,5.98,66,Forward,0,12,0,0,0,75.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0.0,0.0,1.5,0.0,0.5,2.0,75.0,0.0,0.0,0.0
Jermain Defoe,5.98,77,"AM(R), FW",0,22,0,0,0,33.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.8,33.3,0.0,0.0,0.0
Dennis Jastrzembski,5.99,66,Forward,0,58,0,1,0,73.3,0.0,0,0.0,0.2,0.8,0.0,0.0,0.6,0.0,0,0,0.2,0.2,0.2,0.0,0.2,0.2,0.2,3.0,73.3,0.0,0.0,0.0
Ibrahima Konaté,7.19,74,D(C),27,2431,1,7,0,76.0,3.6,0,1.6,2.1,1.3,1.0,4.3,0.4,0.6,0,1,0.5,0.8,0.9,0.0,0.4,0.7,0.2,37.0,76.0,0.0,1.9,0.0
