Name,Name.1,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Long balls per game,Through balls per game,pos
Lionel Messi,"Lionel Messi Barcelona, 32, AM(CR),FW ",8.48,94,"AM(CR), FW",29,2710,13,3,0,0.2,17,0.4,0.1,0.6,0.0,0.0,0.5,0.0,0,36,5.0,3.9,1.9,0.5,2.3,1.9,2.7,53.8,81.3,0.4,3.4,0.9,OFF
Cristiano Ronaldo,"Cristiano Ronaldo Juventus, 34, M(L),FW ",7.68,94,"M(L), FW",30,2689,8,3,0,1.1,10,0.3,0.2,0.6,0.0,1.0,0.3,0.1,0,21,5.7,1.5,1.6,0.9,1.3,1.7,1.5,33.3,85.1,0.5,1.0,0.0,OFF
Neymar,"Neymar Paris Saint-Germain, 27, AM(CLR),FW ",8.26,92,"AM(CLR), FW",16,1444,7,2,0,0.5,7,0.8,0.3,0.7,0.0,0.1,1.0,0.0,0,15,3.2,4.4,3.4,0.4,4.2,4.1,2.5,57.8,81.1,1.0,2.5,0.9,OFF
Luis Suárez,"Luis Suárez Barcelona, 32, AM(CLR),FW ",7.57,91,"AM(CLR), FW",31,2830,6,5,0,0.7,5,0.5,0.2,0.9,0.0,0.7,0.2,0.1,0,21,3.4,1.1,1.7,0.8,1.6,2.3,1.4,29.0,75.3,0.2,1.5,0.1,OFF
Luka Modric,"Luka Modric Real Madrid, 33, M(C) ",7.03,91,M(C),31,2618,6,6,0,0.4,1,1.4,0.9,0.8,0.0,0.2,1.0,0.1,0,3,1.1,1.6,1.4,0.1,1.2,1.1,1.6,55.6,88.9,0.6,4.1,0.1,MID
Sergio Ramos,"Sergio Ramos Real Madrid, 33, D(CR) ",6.91,91,D(CR),28,2476,1,5,1,2.2,2,1.5,1.3,1.0,1.0,3.0,0.6,0.5,0,6,1.1,0.1,1.3,0.2,0.1,0.4,0.3,68.5,92.1,0.0,7.1,0.0,DEF
Leo Suárez,"Leo Suárez Real Valladolid, 23, FW ",6.25,91,FW,7,520,0,0,0,0.3,0,0.3,0.1,0.4,0.0,0.3,0.2,0.1,0,2,0.8,0.3,0.8,0.3,0.6,1.4,0.2,12.3,80.4,0.0,0.4,0.1,OFF
Eden Hazard,"Eden Hazard Chelsea, 28, M(CLR),FW ",7.81,91,"M(CLR), FW",32,2926,15,2,0,0.5,14,0.4,0.4,0.3,0.0,0.1,0.3,0.0,0,16,2.5,3.7,2.8,0.3,2.3,2.4,2.6,49.2,84.3,0.9,2.7,0.3,OFF
Kevin De Bruyne,"Kevin De Bruyne Manchester City, 28, M(CLR),FW ",7.05,91,"M(CLR), FW",11,978,2,2,0,0.3,2,1.2,0.2,0.5,0.1,0.1,0.7,0.1,0,2,1.6,1.0,0.8,0.1,0.7,1.2,1.9,38.2,83.7,1.1,2.4,0.2,OFF
Robert Lewandowski,"Robert Lewandowski Bayern Munich, 31, FW ",7.65,90,FW,33,2959,7,2,0,1.7,5,0.4,0.2,0.8,0.0,0.5,0.2,0.0,0,22,4.4,1.5,1.4,0.9,1.5,2.8,1.4,22.1,77.5,0.0,0.6,0.2,OFF
Toni Kroos,"Toni Kroos Real Madrid, 29, M(C) ",7.09,90,M(C),26,2227,4,2,0,0.8,2,1.8,0.5,0.8,0.0,0.4,1.5,0.1,0,0,1.1,0.5,2.0,0.0,0.4,0.6,2.3,74.0,93.2,1.5,7.8,0.1,MID
Diego Godín,"Diego Godín Atletico Madrid, 33, D(C) ",6.98,90,D(C),28,2508,1,7,0,3.0,1,1.7,1.5,1.1,0.2,4.5,0.7,0.3,1,3,0.5,0.3,0.8,0.0,0.0,0.4,0.1,34.9,80.5,0.0,3.1,0.0,DEF
David Silva,"David Silva Manchester City, 33, M(CLR) ",7.26,90,M(CLR),28,2412,8,3,0,0.6,1,0.9,0.7,0.8,0.0,0.4,0.6,0.0,0,6,1.5,0.9,0.8,0.2,0.9,0.8,2.2,61.1,87.8,0.5,1.2,0.2,MID
Antoine Griezmann,"Antoine Griezmann Atletico Madrid, 28, AM(CLR),FW ",7.29,89,"AM(CLR), FW",37,3204,9,5,0,1.1,4,0.8,0.3,0.5,0.0,0.6,0.5,0.0,0,15,3.1,0.5,0.9,0.3,1.3,1.5,2.0,37.5,78.3,0.6,1.3,0.1,OFF
Sergio Busquets,"Sergio Busquets Barcelona, 31, DMC ",7,89,DMC,30,2720,1,10,0,1.5,0,2.6,1.5,1.1,0.0,0.6,1.4,0.2,0,0,0.2,0.3,1.5,0.0,0.7,0.4,0.4,68.4,89.7,0.0,4.3,0.1,DEF
Edinson Cavani,"Edinson Cavani Paris Saint-Germain, 32, AM(LR),FW ",7.44,89,"AM(LR), FW",20,1676,5,1,0,0.2,2,0.5,0.3,0.5,0.0,0.7,0.5,0.1,0,18,2.5,0.6,0.8,0.5,0.6,1.8,0.6,16.7,76.3,0.0,0.3,0.0,OFF
Sergio Agüero,"Sergio Agüero Manchester City, 31, AM(CL),FW ",7.53,89,"AM(CL), FW",31,2480,8,3,0,0.5,5,0.5,0.3,0.6,0.0,0.1,0.1,0.0,0,21,3.6,1.4,0.8,0.8,1.6,2.2,1.0,23.4,85.0,0.0,0.1,0.1,OFF
Harry Kane,"Harry Kane Tottenham, 26, AM(C),FW ",7.38,89,"AM(C), FW",27,2427,4,5,0,1.8,6,0.4,0.0,1.1,0.0,0.5,0.5,0.2,0,17,3.6,1.4,1.9,0.4,1.6,2.9,1.1,19.7,73.1,0.1,1.6,0.0,OFF
NGolo Kanté,"N'Golo Kanté Chelsea, 28, DMC ",6.93,89,DMC,36,3096,4,3,0,0.8,1,2.1,1.2,1.0,0.0,0.7,1.2,0.2,0,4,0.8,0.9,0.4,0.2,1.5,1.6,1.3,56.2,87.9,0.2,1.0,0.1,DEF
Paulo Dybala,"Paulo Dybala Juventus, 25, AM(CR),FW ",7.08,89,"AM(CR), FW",24,2137,4,2,0,0.1,4,0.6,0.5,0.6,0.0,0.0,0.5,0.1,0,5,2.2,1.7,2.2,0.2,1.4,2.4,1.7,39.1,89.3,0.9,3.7,0.1,OFF
Giorgio Chiellini,"Giorgio Chiellini Juventus, 35, D(C) ",6.98,89,D(C),22,1990,1,3,0,2.1,0,1.0,1.2,0.6,0.2,3.7,0.1,0.6,0,1,0.5,0.2,0.8,0.0,0.4,0.4,0.3,53.4,84.9,0.2,4.4,0.0,DEF
James Rodríguez,"James Rodríguez Bayern Munich, 28, AM(CLR) ",7.24,88,AM(CLR),13,1143,3,2,0,0.2,3,0.6,0.2,0.4,0.0,0.1,0.7,0.0,0,7,1.8,0.8,0.8,0.3,0.6,0.7,2.6,43.9,87.1,1.6,2.4,0.2,MID
Mats Hummels,"Mats Hummels Bayern Munich, 30, D(C) ",7.17,88,D(C),20,1776,1,1,0,4.0,0,1.2,1.6,0.4,0.2,2.3,0.7,0.4,0,1,0.9,0.5,0.4,0.0,0.1,0.4,0.6,82.6,89.4,0.0,4.5,0.1,DEF
Casemiro,"Casemiro Real Madrid, 27, DMC ",7.15,88,DMC,27,2316,0,5,1,3.0,4,3.0,1.4,1.6,0.2,1.8,1.9,0.4,0,3,1.4,0.6,1.7,0.0,0.6,0.5,0.5,55.8,88.0,0.1,4.9,0.0,DEF
Philippe Coutinho,"Philippe Coutinho Barcelona, 27, M(CLR) ",6.93,88,M(CLR),22,2023,2,2,0,0.2,0,0.5,0.4,0.6,0.0,0.1,0.4,0.1,0,5,2.0,1.5,1.3,0.2,1.4,1.2,0.9,40.8,87.9,0.2,1.2,0.1,MID
Gareth Bale,"Gareth Bale Real Madrid, 30, M(CLR),FW ",6.88,88,"M(CLR), FW",21,1794,3,4,0,1.3,2,0.6,0.4,0.6,0.0,0.4,0.5,0.1,0,8,2.6,0.8,0.7,0.5,0.7,0.8,0.6,23.8,78.3,0.4,1.5,0.0,OFF
Isco,"Isco Real Madrid, 27, AM(CLR),FW ",6.66,88,"AM(CLR), FW",11,1188,2,3,0,0.3,0,1.1,0.2,0.7,0.0,0.1,0.7,0.0,0,3,0.9,1.3,1.3,0.1,1.1,0.9,1.0,34.4,88.6,0.3,1.5,0.1,OFF
